pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
1,Bulbasaur,I,Seed Pokémon,Grass,Poison,0.7,6.9,45,49,49,65,65,45,"Overgrow, Chlorophyll",,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.",A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,
2,Ivysaur,I,Seed Pokémon,Grass,Poison,1.0,13.0,60,62,63,80,80,60,"Overgrow, Chlorophyll",Bulbasaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",
3,Venusaur,I,Seed Pokémon,Grass,Poison,2.0,100.0,80,82,83,100,100,80,"Overgrow, Chlorophyll",Ivysaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.",There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,
4,Charmander,I,Lizard Pokémon,Fire,,0.6,8.5,39,52,43,60,50,65,"Blaze, Solar Power",,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.",,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",
5,Charmeleon,I,Flame Pokémon,Fire,,1.1,19.0,58,64,58,80,65,80,"Blaze, Solar Power",Charmander,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","When it swings its burning tail, it elevates the temperature to unbearably high levels.","It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins.","CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.",It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",
6,Charizard,I,Flame Pokémon,Fire,Flying,1.7,90.5,78,84,78,109,85,100,"Blaze, Solar Power",Charmeleon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.",,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,
7,Squirtle,I,Tiny Turtle Pokémon,Water,,0.5,9.0,44,48,65,50,64,43,"Torrent, Rain Dish",,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it.","SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",
8,Wartortle,I,Turtle Pokémon,Water,,1.0,22.5,59,63,80,65,80,58,"Torrent, Rain Dish",Squirtle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.",,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",
9,Blastoise,I,Shellfish Pokémon,Water,,1.6,85.5,79,83,100,85,105,78,"Torrent, Rain Dish",Wartortle,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.,BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",
10,Caterpie,I,Worm Pokémon,Bug,,0.3,2.9,45,30,35,20,20,45,"Shield Dust, Run Away",,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,"For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies.","CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor.",It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.","When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",
