id,name,genus,height_dm,weight_hg,types,base_experience,hp,attack,defense,special-attack,special-defense,speed,abilities,hidden_ability,is_baby,is_legendary,is_mythical,egg_groups,growth_rate,habitat,color,shape,evolution_chain,in_red_blue,in_yellow,in_gold_silver,in_crystal,in_ruby_sapphire,in_emerald,in_firered_leafgreen,in_diamond_pearl,in_platinum,in_heartgold_soulsilver,in_black_white,in_black-2_white-2,in_x_y,in_omega-ruby_alpha-sapphire,in_sun_moon,in_ultra-sun_ultra-moon,in_lets-go-pikachu_eevee,in_sword_shield,in_brilliant-diamond_shining-pearl,in_legends-arceus,in_scarlet_violet,flavor_text,sprite_front_default,sprite_back_default,sprite_front_shiny,sprite_back_shiny,official_artwork_url,all_moves
1,bulbasaur,Seed Pokémon,7,69,grass|poison,64,45,49,49,65,65,45,overgrow,chlorophyll,False,False,False,monster|plant,medium-slow,grassland,green,quadruped,bulbasaur -> ivysaur -> venusaur,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,acid-spray|amnesia|attract|bide|bind|body-slam|bullet-seed|captivate|charm|confide|curse|cut|defense-curl|double-edge|double-team|echoed-voice|endure|energy-ball|facade|false-swipe|flash|frustration|fury-cutter|giga-drain|grass-knot|grass-pledge|grass-whistle|grassy-glide|grassy-terrain|growl|growth|headbutt|helping-hand|hidden-power|ingrain|knock-off|leaf-storm|leech-seed|light-screen|magical-leaf|mega-drain|mimic|mud-slap|natural-gift|nature-power|outrage|petal-dance|poison-powder|power-whip|protect|rage|razor-leaf|razor-wind|reflect|rest|return|rock-smash|round|safeguard|secret-power|seed-bomb|skull-bash|sleep-powder|sleep-talk|sludge|sludge-bomb|snore|solar-beam|strength|string-shot|substitute|sunny-day|swagger|sweet-scent|swords-dance|synthesis|tackle|take-down|tera-blast|toxic|trailblaze|venoshock|vine-whip|weather-ball|work-up|worry-seed
2,ivysaur,Seed Pokémon,10,130,grass|poison,142,60,62,63,80,80,60,overgrow,chlorophyll,False,False,False,monster|plant,medium-slow,grassland,green,quadruped,bulbasaur -> ivysaur -> venusaur,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,acid-spray|amnesia|attract|bide|bind|body-slam|bullet-seed|captivate|charm|confide|curse|cut|defense-curl|double-edge|double-team|echoed-voice|endure|energy-ball|facade|false-swipe|flash|frustration|fury-cutter|giga-drain|grass-knot|grass-pledge|grassy-glide|grassy-terrain|growl|growth|headbutt|helping-hand|hidden-power|ingrain|knock-off|leaf-storm|leech-seed|light-screen|magical-leaf|mega-drain|mimic|mud-slap|natural-gift|nature-power|outrage|petal-dance|poison-powder|power-whip|protect|rage|razor-leaf|reflect|rest|return|roar|rock-smash|round|safeguard|secret-power|seed-bomb|sleep-powder|sleep-talk|sludge-bomb|snore|solar-beam|strength|string-shot|substitute|sunny-day|swagger|sweet-scent|swords-dance|synthesis|tackle|take-down|tera-blast|toxic|trailblaze|venoshock|vine-whip|weather-ball|work-up|worry-seed
3,venusaur,Seed Pokémon,20,1000,grass|poison,236,80,82,83,100,100,80,overgrow,chlorophyll,False,False,False,monster|plant,medium-slow,grassland,green,quadruped,bulbasaur -> ivysaur -> venusaur,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,acid-spray|amnesia|attract|bide|bind|block|body-slam|bulldoze|bullet-seed|captivate|charm|confide|curse|cut|defense-curl|double-edge|double-team|earth-power|earthquake|echoed-voice|endure|energy-ball|facade|false-swipe|flash|frenzy-plant|frustration|fury-cutter|giga-drain|giga-impact|grass-knot|grass-pledge|grassy-glide|grassy-terrain|growl|growth|headbutt|helping-hand|hidden-power|hyper-beam|ingrain|knock-off|leaf-storm|leech-seed|light-screen|magical-leaf|mega-drain|mimic|mud-slap|natural-gift|nature-power|outrage|petal-blizzard|petal-dance|poison-jab|poison-powder|power-whip|protect|rage|razor-leaf|reflect|rest|return|roar|rock-climb|rock-smash|round|safeguard|scary-face|secret-power|seed-bomb|sleep-powder|sleep-talk|sludge-bomb|snore|solar-beam|stomping-tantrum|strength|string-shot|substitute|sunny-day|swagger|sweet-scent|swords-dance|synthesis|tackle|take-down|tera-blast|terrain-pulse|toxic|trailblaze|venoshock|vine-whip|weather-ball|work-up|worry-seed
4,charmander,Lizard Pokémon,6,85,fire,62,39,52,43,60,50,65,blaze,solar-power,False,False,False,monster|dragon,medium-slow,mountain,red,upright,charmander -> charmeleon -> charizard,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,acrobatics|aerial-ace|air-cutter|ancient-power|attract|beat-up|belly-drum|bide|bite|body-slam|breaking-swipe|brick-break|captivate|confide|counter|crunch|curse|cut|defense-curl|dig|double-edge|double-team|dragon-breath|dragon-claw|dragon-dance|dragon-pulse|dragon-rage|dragon-rush|dragon-tail|dynamic-punch|echoed-voice|ember|endure|facade|false-swipe|fire-blast|fire-fang|fire-pledge|fire-punch|fire-spin|flame-burst|flame-charge|flamethrower|flare-blitz|fling|focus-blast|focus-punch|frustration|fury-cutter|fury-swipes|growl|headbutt|heat-wave|helping-hand|hidden-power|hone-claws|incinerate|inferno|iron-tail|leer|mega-kick|mega-punch|metal-claw|mimic|mud-slap|natural-gift|outrage|overheat|power-up-punch|protect|rage|reflect|rest|return|roar|rock-slide|rock-smash|rock-tomb|round|scary-face|scratch|secret-power|seismic-toss|shadow-claw|skull-bash|slash|sleep-talk|smokescreen|snore|strength|submission|substitute|sunny-day|swagger|swift|swords-dance|take-down|temper-flare|tera-blast|thunder-punch|toxic|weather-ball|will-o-wisp|wing-attack|work-up
5,charmeleon,Flame Pokémon,11,190,fire,142,58,64,58,80,65,80,blaze,solar-power,False,False,False,monster|dragon,medium-slow,mountain,red,upright,charmander -> charmeleon -> charizard,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,acrobatics|aerial-ace|ancient-power|attract|beat-up|belly-drum|bide|bite|body-slam|breaking-swipe|brick-break|captivate|confide|counter|crunch|curse|cut|defense-curl|dig|double-edge|double-team|dragon-breath|dragon-claw|dragon-dance|dragon-pulse|dragon-rage|dragon-rush|dragon-tail|dynamic-punch|echoed-voice|ember|endure|facade|false-swipe|fire-blast|fire-fang|fire-pledge|fire-punch|fire-spin|flame-burst|flame-charge|flamethrower|flare-blitz|fling|focus-blast|focus-punch|frustration|fury-cutter|fury-swipes|growl|headbutt|heat-wave|helping-hand|hidden-power|hone-claws|incinerate|inferno|iron-tail|leer|mega-kick|mega-punch|metal-claw|mimic|mud-slap|natural-gift|outrage|overheat|power-up-punch|protect|rage|reflect|rest|return|roar|rock-slide|rock-smash|rock-tomb|round|scary-face|scratch|secret-power|seismic-toss|shadow-claw|skull-bash|slash|sleep-talk|smokescreen|snore|strength|submission|substitute|sunny-day|swagger|swift|swords-dance|take-down|temper-flare|tera-blast|thunder-punch|toxic|weather-ball|will-o-wisp|work-up
6,charizard,Flame Pokémon,17,905,fire|flying,240,78,84,78,109,85,100,blaze,solar-power,False,False,False,monster|dragon,medium-slow,mountain,red,upright,charmander -> charmeleon -> charizard,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,acrobatics|aerial-ace|air-cutter|air-slash|ancient-power|attract|beat-up|belly-drum|bide|bite|blast-burn|blaze-kick|body-slam|breaking-swipe|brick-break|brutal-swing|bulldoze|captivate|confide|counter|crunch|curse|cut|defense-curl|defog|dig|double-edge|double-team|dragon-breath|dragon-cheer|dragon-claw|dragon-dance|dragon-pulse|dragon-rage|dragon-rush|dragon-tail|dual-wingbeat|dynamic-punch|earthquake|echoed-voice|ember|endure|facade|false-swipe|fire-blast|fire-fang|fire-pledge|fire-punch|fire-spin|fissure|flame-burst|flame-charge|flamethrower|flare-blitz|fling|fly|focus-blast|focus-punch|frustration|fury-cutter|fury-swipes|giga-impact|growl|headbutt|heat-crash|heat-wave|helping-hand|hidden-power|hone-claws|hurricane|hyper-beam|incinerate|inferno|iron-tail|leer|mega-kick|mega-punch|metal-claw|mimic|mud-slap|mystical-fire|natural-gift|ominous-wind|outrage|overheat|power-up-punch|protect|rage|reflect|rest|return|roar|rock-slide|rock-smash|rock-tomb|roost|round|sandstorm|scale-shot|scary-face|scorching-sands|scratch|secret-power|seismic-toss|shadow-claw|skull-bash|sky-drop|slash|sleep-talk|smokescreen|snore|solar-beam|steel-wing|strength|submission|substitute|sunny-day|swagger|swift|swords-dance|tailwind|take-down|temper-flare|tera-blast|thunder-punch|toxic|twister|weather-ball|will-o-wisp|wing-attack|work-up
7,squirtle,Tiny Turtle Pokémon,5,90,water,63,44,48,65,50,64,43,torrent,rain-dish,False,False,False,monster|water1,medium-slow,waters-edge,blue,upright,squirtle -> wartortle -> blastoise,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,aqua-jet|aqua-ring|aqua-tail|attract|aura-sphere|bide|bite|blizzard|body-slam|brick-break|brine|bubble|bubble-beam|captivate|chilling-water|confide|confusion|counter|curse|defense-curl|dig|dive|double-edge|double-team|dragon-pulse|dynamic-punch|endure|facade|fake-out|false-swipe|flail|fling|flip-turn|focus-punch|follow-me|foresight|frustration|gyro-ball|hail|haze|headbutt|helping-hand|hidden-power|hydro-pump|ice-beam|ice-punch|ice-spinner|icy-wind|iron-defense|iron-tail|life-dew|liquidation|mega-kick|mega-punch|mimic|mirror-coat|mist|mud-shot|mud-slap|mud-sport|muddy-water|natural-gift|outrage|power-up-punch|protect|rage|rain-dance|rapid-spin|reflect|refresh|rest|return|rock-slide|rock-smash|rock-tomb|rollout|round|scald|secret-power|seismic-toss|shell-smash|skull-bash|sleep-talk|snore|strength|submission|substitute|surf|swagger|tackle|tail-whip|take-down|tera-blast|toxic|water-gun|water-pledge|water-pulse|water-spout|waterfall|wave-crash|weather-ball|whirlpool|withdraw|work-up|yawn|zen-headbutt
8,wartortle,Turtle Pokémon,10,225,water,142,59,63,80,65,80,58,torrent,rain-dish,False,False,False,monster|water1,medium-slow,waters-edge,blue,upright,squirtle -> wartortle -> blastoise,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,aqua-jet|aqua-ring|aqua-tail|attract|aura-sphere|bide|bite|blizzard|body-slam|brick-break|brine|bubble|bubble-beam|captivate|chilling-water|confide|counter|curse|defense-curl|dig|dive|double-edge|double-team|dragon-pulse|dynamic-punch|endure|facade|fake-out|false-swipe|flail|fling|flip-turn|focus-punch|frustration|gyro-ball|hail|haze|headbutt|helping-hand|hidden-power|hydro-pump|ice-beam|ice-punch|ice-spinner|icy-wind|iron-defense|iron-tail|life-dew|liquidation|mega-kick|mega-punch|mimic|mirror-coat|mist|mud-shot|mud-slap|muddy-water|natural-gift|outrage|power-up-punch|protect|rage|rain-dance|rapid-spin|reflect|rest|return|rock-slide|rock-smash|rock-tomb|rollout|round|scald|secret-power|seismic-toss|shell-smash|skull-bash|sleep-talk|snore|strength|submission|substitute|surf|swagger|tackle|tail-whip|take-down|tera-blast|toxic|water-gun|water-pledge|water-pulse|water-spout|waterfall|wave-crash|weather-ball|whirlpool|withdraw|work-up|yawn|zen-headbutt
9,blastoise,Shellfish Pokémon,16,855,water,239,79,83,100,85,105,78,torrent,rain-dish,False,False,False,monster|water1,medium-slow,waters-edge,blue,upright,squirtle -> wartortle -> blastoise,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,aqua-jet|aqua-ring|aqua-tail|attract|aura-sphere|avalanche|bide|bite|blizzard|body-press|body-slam|brick-break|brine|bubble|bubble-beam|bulldoze|captivate|chilling-water|confide|counter|crunch|curse|dark-pulse|defense-curl|dig|dive|double-edge|double-team|dragon-pulse|dragon-tail|dynamic-punch|earthquake|endure|facade|fake-out|false-swipe|fissure|flail|flash-cannon|fling|flip-turn|focus-blast|focus-punch|frustration|giga-impact|gyro-ball|hail|haze|headbutt|helping-hand|hidden-power|hydro-cannon|hydro-pump|hyper-beam|ice-beam|ice-punch|ice-spinner|icy-wind|iron-defense|iron-tail|life-dew|liquidation|mega-kick|mega-punch|mimic|mirror-coat|mist|mud-shot|mud-slap|muddy-water|natural-gift|outrage|power-up-punch|protect|rage|rain-dance|rapid-spin|reflect|rest|return|roar|rock-climb|rock-slide|rock-smash|rock-tomb|rollout|round|scald|scary-face|secret-power|seismic-toss|shell-smash|signal-beam|skull-bash|sleep-talk|smack-down|snore|strength|submission|substitute|surf|swagger|tackle|tail-whip|take-down|tera-blast|terrain-pulse|toxic|water-gun|water-pledge|water-pulse|water-spout|waterfall|wave-crash|weather-ball|whirlpool|withdraw|work-up|yawn|zen-headbutt
10,caterpie,Worm Pokémon,3,29,bug,39,45,30,35,20,20,45,shield-dust,run-away,False,False,False,bug,medium,forest,green,armor,caterpie -> metapod -> butterfree,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,bug-bite|electroweb|snore|string-shot|tackle
