Pokemon,Encounters
Skrelp,30571
Mime Jr.,30255
Tangrowth,30154
Fennekin,21804
Vileplume,21738
Feebas,77891
Tauros (blaze),8729
Houndoom,8727
Caterpie,30221
Leafeon,30159
Ludicolo,21360
Palossand,30194
Dragapult,8807
Krookodile,21717
Walrein,21847
Spinarak,43050
Raticate,30070
Slugma,30417
Makuhita,61061
Cryogonal,30647
Mega Glalie,30279
Celebi,21566
Doduo,30269
Mega Ampharos,21689
Bronzor,30461
Melmetal,8742
Elekid,30026
Revavroom,30407
Mega Garchomp,8629
Braixen,21619
Palkia-Orgin,8664
Cherubi,30769
Drilbur,30479
Wailmer,60561
Obstagoon,30438
Greavard,21589
Scraggy,30551
Mega Altaria,77988
Cetitan,21680
Gengar,21551
Zeraora,8664
Mew,21538
Orbeetle,30350
Zapdos,8683
Larvitar,8616
Breloom,60656
Quaxly,21716
Slowpoke,29974
Darmanitan-Galarian,21837
Clodsire,30290
Drifloon,60908
Sawk,30271
Aipom,43243
Doublade,30296
Castform,30482
Toxapex,30295
Sirfetch'd,30305
Dewgong,30312
Inteleon,21917
Dipplin,77911
Jellicent,30337
Goodra-Hisuian,8635
Murkrow,21692
Alcremie,30242
Ducklett,30191
Scyther,30314
Ursaluna -Bloodmoon,30495
Quaxwell,21730
Cinderace,21656
Grookey,21911
Patrat,30155
Cranidos,77682
Oddish,21937
Grafaiai,21590
Wynaut,30430
Palafin -Zero Form,8665
Dracozolt,8609
Pidove,21777
Charizard,21806
Wattrel,21588
Wailord,60509
Surskit,30214
Turtonator,30365
Silvally-Water,8733
Kommo-o,8834
Skeledirge,21655
Cascoon,30600
Serperior,21908
Varoom,30403
Crawdaunt,60993
Sprigatito,21882
Primeape,30235
Shuckle,21650
Slowpoke-Galarian,30159
Ho-Oh,8584
Milotic,78009
Scrafty,30392
Vulpix,30399
Vikavolt,30344
Clobbopus,21639
Pineco,30259
Lombre,21886
Swoobat,30500
Typhlosion-Hisuian,21714
Qwilfish-Hisuian,30311
Bronzong,30279
Thwackey,21525
Magmortar,30347
Kyurem,8609
Slakoth,8658
Mankey,30474
Gabite,8770
Persian,30320
Weezing,30469
Revavroom -Segin,30336
Grimer,30692
Rockruff-Own Tempo,30310
Spiritomb,30157
Gible,8733
Ledyba,43352
Seviper,60853
Nidoking,21548
Thundurus-I,8680
Venipede,22015
Shedinja,77887
Garganacl,21726
Kingambit,30262
Spidops,78682
Buneary,30049
Vigoroth,8678
Espurr,30549
Lurantis,30068
Pangoro,30240
Steelix,30415
Musharna,43399
Shuppet,43576
Flittle,21605
Garbodor,30321
Perrserker,30382
Herdier,21599
Golduck,30566
Empoleon,21664
Ceruledge,8664
Haunter,21727
Scream Tail,8849
Incineroar,21631
Noctowl,30049
Wigglytuff,43817
Falinks,30452
Mega Latios,8813
Bastiodon,77970
Yungoos,30519
Amaura,30191
Lileep,77975
Kilowattrel,21884
Meowth-Galarian,30353
Mega Kangaskhan,30359
Eternatus,8709
Avalugg-Hisuian,30173
Cosmog,8753
Squawkabilly -Yellow/White,78066
Tadbulb,30249
Yanmega,30719
Clamperl,78079
Finizen,8628
Basculin (Blue-Striped),30482
Dugtrio-Alolan,30325
Sneasler,21720
Glalie,30326
Marowak-Alolan,30201
Meditite,29930
Lycanroc (Midnight),30506
Koffing,30472
Amoonguss,30548
Luvdisc,43185
Combee,21362
Blaziken,21489
Mega Pidgeot,21850
Purugly,43415
Gossifleur,30317
Darmanitan Zen,21682
Heatmor,30438
Buizel,30374
Luxio,21671
Lumineon,77432
Meowscarada,21520
Dwebble,30078
Volbeat,78531
Seedot,21564
Misdreavus,43721
Frigibax,8577
Crabominable,30537
Blipbug,30490
Chewtle,30212
Wurmple,30673
Nincada,78069
Exeggutor-Alolan,8604
Hariyama,61012
Floette,30570
Necrozma,8547
Sawsbuck,30460
Ribombee,30477
Milcery,30171
Jynx,30144
Chesnaught,21609
Pachirisu,30485
Grubbin,30358
Eldegoss,30272
Wormadam-Sandy,30284
Sandshrew-Alolan,30295
Farfetch'd,30219
Minior-Meteor,21661
Chatot,21775
Mega Steelix,30397
Mudsdale,30405
Barboach,30085
Wobbuffet,30173
Klefki,43094
Ursaluna,30319
Greedent,30341
Ariados,43363
Tyrantrum,30405
Aurorus,30379
Hydrapple,78127
Clefairy,43344
Toucannon,30447
Lickilicky,30499
Sylveon,30417
Naclstack,21612
Electrode,30577
Lilligant,30208
Mega Camerupt,30140
Metagross,8688
Vespiquen,21516
Gumshoos,30084
Lycanroc (Midday),30547
Capsakid,30568
Rapidash-Galarian,30129
Voltorb,30337
Lilligant-Hisuian,30443
Arceus-Bug,8905
Wimpod,30138
Kabuto,29924
Magnezone,30482
Starly,21628
Mothim,30060
Fearow,30167
Magby,30521
Porygon2,30520
Nuzleaf,21725
Tandemaus,43411
Zubat,30311
Veluza,43201
Turtwig,21891
Flareon,30409
Stufful,30472
Plusle,30443
Ninjask,78323
Tsareena,21729
Clefable,43470
Nidorina,21816
Dubwool,30712
Natu,30134
Mienshao,21655
Azurill,43354
Huntail,77778
Sudowoodo,30420
Shaymin-Sky form,21498
Pumpkaboo-Large,30149
Mega Diancie,8824
Nacli,21911
Croagunk,30472
Dusclops,43458
Cradily,77981
Sinistcha,30276
Zebstrika,30498
Carvanha,8694
Smoochum,30527
Happiny,42984
Dolliv,21597
Voltorb-Hisuian,30319
Venonat,30223
Wooper,30090
Unown,30726
Revavroom -Navi,30261
Krabby,30377
Bruxish,30364
Poliwrath,21904
Landorus-I,8712
Panpour,30502
Flaaffy,21714
Geodude-Alolan,21746
Budew,21718
Victreebel,21362
Anorith,78018
Girafarig,30662
Swalot,60379
Comfey,43158
Litten,21592
Flamigo,21796
Abra,21507
Tinkatuff,21939
Bibarel,30508
Hatterene,8627
Dustox,30574
Farfetch'd-Galarian,30254
Weepinbell,21350
Diglett,30398
Kingler,30313
Glimmet,21701
Grimer-Alolan,30494
Drednaw,30356
Mareanie,30500
Horsea,30651
Gourgeist-Small,30415
Cobalion,8647
Silcoon,30028
Glaceon,30212
Cottonee,30553
Paras,30032
Zangoose,78359
Marill,43532
Oricorio-Pa'u,30555
Corsola-Galarian,43035
Cleffa,43224
Revavroom -Caph,30215
Smoliv,21662
Swanna,30346
Indeedee-Female,43559
Aromatisse,30492
Shelmet,30535
Litleo,21924
Corsola,42997
Minun,30443
Durant,30636
Exeggutor,8625
Roggenrola,21425
Bisharp,30289
