Pokemon,Shiny Encounters
Shinx,1
Joltik,1
Sharpedo,1
Beedrill,2
Flareon,1
Floette,1
Rookidee,3
Hariyama,4
Pineco,2
Teddiursa,2
Corphish,3
Makuhita,1
Tinkatuff,1
Ducklett,1
Mega Altaria,1
Pikipek,2
Doduo,3
Riolu,1
Exploud,1
Zebstrika,1
Scovillain,1
Ponyta,2
Unown,2
Sewaddle,1
Smoochum,1
Clamperl,6
Furfrou,2
Igglybuff,1
Spewpa,1
Herdier,1
Spinda,2
Spinarak,3
Applin,3
Cyclizar,3
Solosis,1
Indeedee-Male,1
Mega Pinsir,1
Munna,2
Skrelp,2
Tarountula,3
Wugtrio,1
Nacli,1
Wooloo,2
Rattata-Alolan,1
Naclstack,1
Feebas,1
Gossifleur,1
Cacnea,1
Pawmi,3
Scraggy,1
Gengar,1
Numel,1
Capsakid,2
Squawkabilly -Yellow/White,2
Darumaka,1
Servine,1
Masquerain,2
Probopass,1
Marill,1
Psyduck,2
Vanillite,2
Drilbur,1
Skwovet,4
Indeedee-Female,1
Sealeo,2
Electabuzz,1
Darmanitan Zen,1
Mudbray,1
Starly,1
Zigzagoon,2
Bronzor,3
Bergmite,2
Shellos,1
Inkay,1
Blipbug,2
Wiglett,1
Rotom-F,1
Shellder,2
Sylveon,1
Dachsbun,1
Azurill,1
Lombre,1
Squawkabilly -Green/Blue,4
Venonat,1
Duskull,2
Voltorb-Hisuian,1
Lotad,2
Aipom,1
Metapod,2
Alomomola,2
Nosepass,2
Chewtle,1
Tirtouga,1
Morelull,1
Loudred,1
Oddish,2
Greedent,2
Swablu,5
Linoone,1
Wailord,1
Foongus,2
Darmanitan Zen-Galarian,1
Bastiodon,1
Cinccino,2
Rattata,2
Burmy,2
Rolycoly,1
Purrloin,2
Nymble,2
Espeon,1
Tyrogue,2
Rellor,1
Happiny,2
Bunnelby,1
Medicham,1
Beheeyem,1
Electivire,1
Carnivine,2
Nickit,2
Tadbulb,1
Durant,1
Tentacool,1
Rampardos,1
Dwebble,2
Yamper,1
Dewpider,1
Mega Aerodactyl,1
Kirlia,1
Dunsparce,2
Raichu,1
Spheal,1
Barboach,2
Toedscruel,1
Cranidos,1
Jigglypuff,3
Blaziken,1
Slowking-Galarian,1
Grubbin,1
Malamar,1
Flittle,1
Krabby,3
Spiritomb,2
Anorith,1
Rotom-H,1
Perrserker,1
Mareanie,1
Crawdaunt,2
Arboliva,1
Grumpig,1
Finneon,3
Flabébé,1
Zorua,1
Mega Medicham,1
Axew,1
Frillish,1
Stunky,1
Dugtrio-Alolan,1
Milotic,1
Sneasel,1
Slowpoke-Galarian,1
Mimikyu,1
Spritzee,3
Cottonee,1
Diggersby,2
Corviknight,1
Whismur,2
Turtonator,1
Trumbeak,1
Camerupt,1
Kricketot,1
Pyroar,1
Sentret,1
Phanpy,1
Swalot,1
Comfey,1
Purugly,1
Ponyta-Galarian,1
Ledian,1
Hypno,1
Salandit,1
Pawniard,1
Panpour,1
Snubbull,1
Ceruledge,1
Audino,1
Binacle,1
Escavalier,1
Swanna,1
Mega Audino,2
Chandelure,1
Diglett,1
Skeledirge,1
Bounsweet,1
Mega Lucario,1
Luxio,1
Greavard,1
Veluza,1
Grimer,1
Stunfisk,1
Corvisquire,1
Floatzel,1
Poliwag,1
Kilowattrel,1
Golett,1
Primarina,1
Varoom,1
Scrafty,1
Dragalge,1
Woobat,1
Arbok,1
Seviper,1
Wynaut,1
Trevenant,1
Spidops,1
Pidove,1
Floragato,1
Gastly,1
Drowzee,1
Fletchling,1
Ultra Necrozma,1
Ferroseed,1
Morgrem,1
Kingdra,1
Pansage,1
Druddigon,1
Unfezant,1
Dedenne,1
Chingling,1
Poltchageist,1
Cherubi,1
Tynamo,1
Accelgor,1
Nidoran♀,1
Shedinja,1
Fennekin,2
Ferrothorn,1
Clodsire,1
Runerigus,1
Turtwig,1
Simisear,1
Ninjask,1
Lycanroc (Midnight),1
Meowth-Galarian,1
Luvdisc,1
Bidoof,1
Pachirisu,1
Seaking,1
Pichu,1
Ledyba,1
Lycanroc (Dusk),1
Sandshrew-Alolan,1
Pidgey,1
Jellicent,1
